Aff,Neg,Judge,Win
Kentucky GS,Emory RY,Nate Martin,Neg
Wyoming CH,Kansas BS,Nikola Stamenkovic Diez,Neg
Kansas WO,Iowa PA,Ethan Greer,Neg
Kansas State LW,MoState DN,Jacob Wilkus,Neg
Harvard DS,Kansas State DR,Sripad Yadagiri,Aff
Utah PP,Oklahoma DF,Ryan Cavanaugh,Aff
Northwestern HP,Kansas FS,Abhis Sedhai,Neg
Utah WV,MoState GC,Alex Sherman,Aff
Southern Nazarene HS,Texas FL,Adam Lee,Neg
Northwestern LR,Kansas SL,Adam White,Neg
Kentucky SR,Georgetown AC,Beau Larsen,Neg
Michigan State FM,Kansas BW,Benjamin Morbeck,Neg
Wake Forest LW,Iowa EW,Kaine Cherry,Neg
Houston IF,Wichita State GM,Subbi Namakula,Neg
Emory KW,UTD KR,Chad Meadows,Neg
Kansas State DS,Central Oklahoma EW,Deven Cooper,Neg
Macalester KH,Wake Forest AB,Sam Gustavson,Aff
Emory SW,Trinity BK,Temitope Ogundare,Aff
Emory AS,Georgia CK,Joe Weideman,Aff
Northwestern LW,Minnesota HU,Storm Lasseter,Aff
Michigan BL,UTD DD,Thomas Babcock,Neg
Dartmouth BG,Cal State Fullerton MN,Jordan Di,Aff
NYU MS,Michigan SS,Dustyn Beutelspacher,Neg
NYU JT,Houston HM,Michael Swidecki,Aff
Emory CG,Wake Forest MS,Jameson Balda,Aff
Kansas SS,Dartmouth CG,Dawn Pierce,Neg
Dartmouth HP,Georgetown LN,Jared DeMunbrun,Neg
Southern California BR,Georgetown CX,Joey Tarnowski,Aff
Kansas AU,Michigan CS,Gabriel Morbeck,Aff
Emory LY,UC Berkeley RM,Roy Rinehart,Neg
Iowa KS,Wake Forest PS,Nine Abad,Aff
Wake Forest DE,Dartmouth BC,Tim Freehan,Neg
CSU Long Beach ES,Dartmouth GH,Grace McManus,Aff
Binghamton CK,Michigan ES,Dimarvin Puerto,Neg
Wyoming WW,Emory GS,Tajaih Robinson,Neg
Kansas FC,Northwestern AP,Kenji Aoki,Neg
Wyoming LW,Kansas LP,Nick Lepp,Neg
Emory GM,UTD HH,Tarang Mishra,Neg
West Point OS,James Madison MO,Lawson Hudson,Neg
Dartmouth JR,Kansas ST,Henry Mitchell,Aff
Oklahoma BW,Kansas HL,Jenny Vazquez Torres,Neg
MoState NS,Kansas HF,Margaret Hecht,Aff
Baylor BK,Southern California DT,Jack Lassiter,Neg
Southern California TM,Oklahoma DT,Flynn Makuch,Aff
Baylor DL,Georgia CP,Brian DeLong,Aff
Harvard CS,Northwestern PS,Joshua Michael,Neg
Iowa BS,Cal State Fullerton CD,Joe Schatz,Aff
CSU Long Beach OM,Michigan State GS,Max Wiessner,Aff
Michigan State GL,George Mason RS,DJ Williams,Aff
Kansas BB,Trinity KP,Tessa Harper,Neg
NYU KK,James Madison KP,Irshad Reza Husain,Aff
Wake Forest HN,Northwestern AK,Ralph Anderson,Aff
Baylor MP,Northwestern LL,Bobby Phillips,Neg
George Mason ED,Kansas BP,Morgan Copeland,Aff
Wyoming HP,Indiana FT,Jay Fuchs,Neg
Western Kentucky NF,Emory ST,Scott Phillips,Aff
Western Kentucky KC,UC Berkeley BU,Tyler Vergho,Neg
Michigan BP,Emory KS,Tony Miklovis,Aff
Binghamton PT,Northwestern LO,Tatianna Mckenzie,Neg
Southern California BM,Michigan OJ,Jared Spiers,Aff
George Mason RT,Texas GS,Will Katz,Aff
Liberty CL,UTD PR,Spencer Roetlin,Neg
Michigan State JS,UTD HK,Kevin Hirn,Neg
UC Berkeley SG,MoState BH,Zidao Wang,Aff
Indiana DJ,Emory CR,Ec Powers,Neg
Georgetown GT,George Mason WW,Matt Conway,Neg
