Aff,Neg,Judge,Win
Wyoming HP,Dartmouth CG,Brian DeLong,Neg
Cal State Fullerton CD,Kentucky SR,Taylor Brough,Neg
Kansas State LW,Liberty CL,kenny delph,Neg
Dartmouth HP,Kansas SS,Grace McManus,Neg
Wyoming LW,Wake Forest AB,Kevon Haughton,Neg
Emory SW,Michigan State JS,Will Katz,Neg
UTD HK,Emory ST,Nine Abad,Aff
Utah PP,Kentucky GS,Joe Weideman,Neg
George Mason ED,Michigan CS,Gene Bressler,Neg
MoState GC,Texas GS,Jacob Wilkus,Neg
NYU KK,Kansas FC,Spencer Roetlin,Neg
NYU MS,Dartmouth GH,Irshad Reza Husain,Aff
Dartmouth BC,Harvard DS,Nick Loew,Neg
UTD DD,Oklahoma DT,Ryan Wash,Aff
Macalester KH,Cal State Fullerton MN,Flynn Makuch,Aff
Iowa KS,Wake Forest LW,Alex McVey,Neg
George Mason WW,Utah WV,Anthony Trufanov,Aff
Southern Nazarene HS,MoState BH,Jimin Park,Aff
UTD HH,Emory RY,Tim Freehan,Neg
Kansas BW,Kansas State DS,Temitope Ogundare,Aff
Western Kentucky NF,Northwestern AP,Peyton Reeves,Neg
West Point OS,Kansas BB,T Weddington,Neg
Georgia CK,Central Oklahoma EW,Beau Larsen,Aff
Michigan State FM,Baylor DL,Ned Gidley,Aff
James Madison MO,George Mason RS,Akif Choudhury,Neg
Southern California DT,Emory KS,Alex Mojica,Neg
Baylor BK,Kansas VL,Jackie Poapst,Aff
Houston IF,Kansas HL,Dawn Pierce,Aff
Georgetown LN,Kansas AU,Ian Dill,Neg
Wake Forest MS,Dartmouth BG,John Nagy,Neg
Georgetown GT,Iowa EW,Joe Schatz,Neg
Western Kentucky KC,Texas FL,Dan Bannister,Aff
CSU Long Beach ES,Harvard CS,Maeve Ella,Neg
Emory AS,UC Berkeley BU,Gabriel Jankovsky,Neg
Kansas BS,UC Berkeley RM,Viveth Karthikeyan,Neg
Wyoming WW,Northwestern HP,Ben Biggs,Aff
Southern California BR,Northwestern PS,Dimarvin Puerto,Aff
Wyoming CH,Binghamton PT,Ryan Cavanaugh,Aff
Wichita State GM,Indiana FT,Jeff Nagel,Aff
NYU JT,Iowa PA,Vincent H. Li,Neg
Emory CR,Michigan State GS,Chad Meadows,Neg
Georgia CP,Kansas FS,Jenny Vazquez Torres,Aff
Minnesota HU,James Madison KP,Henry Mitchell,Aff
Wake Forest HN,Michigan ES,Ec Powers,Neg
Northwestern AK,Trinity BK,Nigel Taylor-Ward,Aff
Kansas State DR,Emory LY,Bryce Rao,Neg
Kansas LP,Binghamton CK,Nikola Stamenkovic Diez,Neg
MoState NS,Michigan State GL,Nick Fleming,Neg
Wake Forest PS,Oklahoma BW,Kwudjwa Osei,Aff
Dartmouth JR,Michigan BL,Ethan Greer,Aff
Wake Forest DE,Emory CG,Zidao Wang,Aff
UTD KR,Northwestern LR,Benjamín Noriega,Neg
Kansas ST,CSU Long Beach OM,William Jensen,Neg
UC Berkeley SG,Georgetown CX,Jeff Buntin,Neg
Southern California BM,Kansas WO,Storm Lasseter,Neg
Kansas HF,Houston HM,Tyler Snelling,Aff
Iowa BS,UTD PR,jasmine stidham,Neg
Southern California TM,Emory KW,Nick Lepp,Aff
Kansas BP,Indiana DJ,Jameson Balda,Aff
Michigan OJ,Georgetown AC,Kevin McCaffrey,Neg
Emory GM,Michigan SS,Tyler Vergho,Neg
Northwestern LL,Oklahoma DF,Manny Navarrete,Aff
Baylor MP,Michigan BP,Dustyn Beutelspacher,Neg
MoState DN,Emory GS,Ralph Anderson,Neg
Northwestern LW,Kansas SL,Scott Phillips,Neg
