Aff,Neg,Judge,Win
Indiana DJ,Dartmouth GH,Nigel Taylor-Ward,Neg
Kansas SS,Texas FL,Joey Tarnowski,Aff
Trinity KP,Southern California DT,Subbi Namakula,Neg
Oklahoma DF,Harvard CS,Jenny Vazquez Torres,Neg
Georgetown GT,Kansas HF,Ignacio Evans,Aff
Emory CR,Cal State Fullerton MN,Tarang Mishra,Aff
Western Kentucky NF,Michigan ES,Gabriel Morbeck,Neg
Minnesota HU,Northwestern AK,Tyler Vergho,Aff
CSU Long Beach OM,Northwestern PS,Trevor Turner,Aff
Wake Forest HN,Kansas VL,Nikola Stamenkovic Diez,Aff
Houston IF,Emory KS,Julian Kuffour,Neg
Dartmouth BG,Michigan SS,Johnnie Stupek,Neg
Wyoming LW,Kansas State DS,Lawson Hudson,Aff
Michigan CS,Michigan State FM,Aaron Fernando,Neg
Harvard DS,Wyoming WW,Kumail Zaidi,Aff
Kansas HL,UTD DD,LaTonya Starks,Neg
James Madison MO,UC Berkeley BU,DJ Williams,Neg
Wichita State GM,Georgia CK,Natalie Yehezkel,Neg
Dartmouth JR,Baylor DL,Alex Sherman,Neg
Kansas ST,Kansas State DR,Jeff Nagel,Aff
Emory GM,Michigan BP,Erik Mathis,Neg
George Mason RS,Georgia CP,Adam Lee,Neg
Kansas BW,Emory AS,Jeff Buntin,Neg
UTD PR,Michigan State GS,Ec Powers,Aff
Northwestern LL,Binghamton CK,Adam Lipton,Neg
West Point OS,James Madison KP,Pav Reddy,Aff
Wyoming HP,George Mason RT,Sripad Yadagiri,Neg
Emory SW,CSU Long Beach ES,Nine Abad,Aff
Georgetown CX,UTD HH,Tony Miklovis,Neg
NYU MS,Iowa EW,Vincent H. Li,Aff
Michigan State JS,Trinity BK,Lindsey Shook,Aff
Binghamton PT,Central Oklahoma EW,Megan Rodak,Neg
Kansas FS,Emory CG,Nick Loew,Aff
Northwestern HP,NYU KK,Manny Navarrete,Aff
Southern California BR,George Mason WW,Mikaela Malsin,Aff
Emory RY,Dartmouth CG,Dustyn Beutelspacher,Neg
Texas GS,Northwestern LO,Kaine Cherry,Neg
Emory LY,Kansas BP,Ari Davidson,Aff
UTD HK,Northwestern AP,Tyler Snelling,Aff
Georgetown LN,Kansas LP,Henry Mitchell,Neg
Liberty CL,Wake Forest DE,Tripp Rebrovick,Neg
MoState DN,Wake Forest AB,Jack Moore,Neg
Emory KW,Wake Forest MS,Michael Swidecki,Neg
NYU JT,Cal State Fullerton CD,Nyx Moore,Aff
Wake Forest LW,Southern California BM,Devane Murphy,Neg
Emory ST,Wake Forest PS,Jack Lassiter,Neg
Oklahoma DT,Wyoming CH,Eli T. Louis,Neg
Iowa BS,MoState BH,Grace McManus,Aff
Michigan State GL,Macalester KH,Brandon Kelley,Neg
Michigan BL,Kansas AU,Benjamin Morbeck,Neg
Iowa PA,Northwestern LR,Bella Piekut,Neg
UC Berkeley RM,Georgetown AC,Ian Dill,Neg
Kansas BB,UTD KR,Ryan Wash,Neg
George Mason ED,MoState NS,Storm Lasseter,Aff
Houston HM,Southern Nazarene HS,Akif Choudhury,Neg
Utah WV,Kansas FC,Brian DeLong,Neg
Northwestern LW,Oklahoma BW,Matthew Granstrom,Aff
Kentucky SR,Kansas BS,John Turner,Neg
Southern California TM,Western Kentucky KC,Ralph Anderson,Aff
Kansas SL,Emory GS,Temitope Ogundare,Neg
Kentucky GS,Iowa KS,Chad Meadows,Aff
Michigan OJ,UC Berkeley SG,John Katsulas,Aff
Kansas State LW,Utah PP,Joe Schatz,Neg
Baylor MP,Dartmouth BC,Nate Martin,Aff
Kansas WO,Baylor BK,Nick Lepp,Aff
