Aff,Neg,Judge,Win
Wake Forest MS,NYU MS,Shanara Reid-Brinkley,Neg
Southern California BM,Emory CR,Cade Blenden,Aff
Georgetown AC,Kansas BW,Bella Piekut,Aff
NYU KK,Texas GS,Natalie Yehezkel,Neg
UTD DD,Kansas BB,Subbi Namakula,Aff
Kansas LP,Georgetown CX,Viveth Karthikeyan,Aff
James Madison KP,Binghamton PT,Ashton Poindexter,Neg
Dartmouth CG,UTD PR,Adam White,Aff
Binghamton CK,Wake Forest LW,Vida Chiri,Aff
Wyoming WW,MoState DN,Lindsey Shook,Aff
Georgia CP,Houston HM,Manny Navarrete,Aff
Southern California DT,Oklahoma DT,Jack Moore,Aff
Wake Forest AB,George Mason ED,T Weddington,Neg
Utah PP,Baylor MP,Sripad Yadagiri,Neg
UC Berkeley SG,Iowa PA,Jacob Wilkus,Neg
UTD KR,Kansas FS,Joe Schatz,Aff
Iowa KS,Minnesota HU,Ethan Greer,Aff
Georgia CK,Northwestern LW,Chad Meadows,Aff
Cal State Fullerton MN,Northwestern LL,Julian Kuffour,Neg
Kansas State DR,Trinity KP,Maeve Ella,Neg
Kansas BP,Wake Forest HN,Trevor Turner,Aff
CSU Long Beach ES,Wichita State GM,Ryan Cavanaugh,Neg
Kansas VL,Iowa BS,Jack Lassiter,Aff
Baylor BK,Georgetown GT,Kwudjwa Osei,Aff
Central Oklahoma EW,James Madison MO,Salma Waheed,Neg
George Mason RT,Houston IF,Spencer Roetlin,Neg
Southern Nazarene HS,Kansas HL,Ben Biggs,Neg
Northwestern AK,Michigan CS,Kevin McCaffrey,Neg
UTD HH,Dartmouth BG,Zidao Wang,Neg
Macalester KH,Kansas SS,Taylor Brough,Aff
MoState NS,NYU JT,Joe Patrice,Aff
Dartmouth GH,Michigan OJ,Alex Sherman,Neg
Wake Forest PS,Emory GM,Jameson Balda,Neg
Kansas AU,Southern California TM,Storm Lasseter,Aff
Cal State Fullerton CD,Northwestern HP,Alaina Walberg,Aff
UC Berkeley BU,Dartmouth JR,Nigel Taylor-Ward,Neg
Northwestern PS,Emory LY,Beau Larsen,Aff
Trinity BK,Wyoming LW,Irshad Reza Husain,Aff
George Mason WW,Emory ST,Tyler Vergho,Aff
Michigan SS,UC Berkeley RM,Joey Tarnowski,Neg
Michigan BP,Kansas SL,Parker Hopkins,Neg
Kansas State DS,West Point OS,Kaine Cherry,Neg
Kansas HF,Indiana DJ,Temitope Ogundare,Aff
Michigan ES,Emory RY,Will Katz,Neg
Emory CG,Utah WV,Matthew Wilkinson,Neg
Kansas BS,George Mason RS,Alex Mojica,Aff
Northwestern LR,Kentucky SR,Adam Lipton,Aff
Indiana FT,Emory SW,Nick Fleming,Neg
Michigan State FM,Liberty CL,Kristiana Baez-Gustavson,Aff
Northwestern LO,Kansas State LW,Aaron Trujillo-,Aff
Iowa EW,UTD HK,John Turner,Aff
Western Kentucky KC,Michigan State GL,Jeff Buntin,Neg
Dartmouth BC,Michigan BL,Henry Mitchell,Neg
Baylor DL,Kentucky GS,Dustyn Beutelspacher,Aff
Northwestern AP,Kansas WO,Roy Rinehart,Aff
MoState BH,Emory KW,Tarang Mishra,Neg
Emory KS,Western Kentucky NF,Anjan Roy,Aff
Wake Forest DE,Michigan State JS,David Griffith,Aff
Michigan State GS,Harvard DS,Ari Davidson,Aff
Emory AS,Southern California BR,Megan Rodak,Aff
Harvard CS,Wyoming HP,Eli T. Louis,Neg
Kansas FC,Georgetown LN,Nick Lepp,Neg
Texas FL,Kansas ST,Johnnie Stupek,Aff
Emory GS,CSU Long Beach OM,Ec Powers,Aff
