Aff,Neg,Judge,Win
MoState DN,Kansas FC,Margaret Hecht,Neg
West Point OS,Kansas State LW,Vincent H. Li,Aff
Kansas State DR,George Mason RT,Jack Moore,Aff
Binghamton CK,Southern California DT,Storm Lasseter,Aff
NYU KK,Oklahoma DF,Anthony Davila,Aff
Southern Nazarene HS,Dartmouth GH,Lucia Hulsether,Aff
Northwestern LW,George Mason RS,T Weddington,Aff
Wake Forest PS,Michigan State FM,Julian Kuffour,Neg
James Madison KP,Central Oklahoma EW,Akif Choudhury,Neg
Iowa EW,James Madison MO,Irshad Reza Husain,Aff
Dartmouth BC,Harvard CS,Michael Swidecki,Aff
Kansas SS,Wake Forest MS,Tatianna Mckenzie,Aff
Northwestern HP,Kansas VL,Matthew Granstrom,Aff
Houston IF,Wake Forest LW,Natalie Yehezkel,Aff
Kansas LP,Wichita State GM,Kurt Fifelski,Aff
Wake Forest HN,Iowa PA,Lindsey Shook,Neg
Georgetown AC,Michigan BP,Zahir Shaikh,Neg
Emory SW,Georgetown CX,Ben Biggs,Aff
MoState BH,Kansas State DS,Nyx Moore,Aff
MoState NS,Emory KW,Aaron Fernando,Aff
Kansas ST,Harvard DS,John Katsulas,Neg
Kansas FS,Cal State Fullerton CD,Doug Dennis,Neg
Kentucky SR,Southern California TM,Ignacio Evans,Aff
Texas FL,Northwestern AP,Azja Butler,Aff
Western Kentucky NF,Michigan State JS,Jeff Buntin,Aff
Wyoming LW,Binghamton PT,Aaron Trujillo-,Aff
Dartmouth CG,Kansas SL,Adam Lipton,Neg
Southern California BR,Northwestern LO,Tyler Snelling,Aff
Northwestern LL,UTD DD,Benjamín Noriega,Aff
Baylor MP,Georgetown GT,Graham Revare,Neg
Emory AS,Macalester KH,Nate Martin,Aff
Utah WV,Trinity KP,Jaysyn Green,Neg
Northwestern PS,Kansas AU,Ari Davidson,Aff
Wyoming CH,Kansas BP,Tessa Harper,Neg
Michigan ES,Emory GS,Cade Blenden,Aff
Emory ST,NYU JT,Nate Milton,Neg
Michigan CS,Wake Forest AB,Joshua Michael,Neg
Kansas BW,NYU MS,Lawson Hudson,Aff
UTD HH,Cal State Fullerton MN,Grace McManus,Aff
Wake Forest DE,Baylor BK,Jared Spiers,Neg
Michigan State GL,UTD PR,Jimin Park,Neg
Emory LY,Kentucky GS,Gabriel Jankovsky,Aff
Michigan OJ,Texas GS,Dennis Savill,Neg
George Mason ED,Emory GM,Jack Lassiter,Neg
Trinity BK,Oklahoma BW,Kevon Haughton,Aff
Dartmouth JR,Emory CR,Jameson Balda,Neg
Houston HM,Wyoming HP,Alex Sherman,Aff
Georgia CK,Southern California BM,Deven Cooper,Neg
Northwestern AK,UTD KR,Ian Dill,Neg
UC Berkeley SG,Wyoming WW,Adam White,Aff
CSU Long Beach ES,Emory CG,Ashton Poindexter,Aff
Kansas HL,Western Kentucky KC,Kaine Cherry,Aff
Emory KS,Kansas WO,Jordan Di,Neg
CSU Long Beach OM,Kansas BS,Dimarvin Puerto,Aff
Michigan BL,Minnesota HU,Matthew Wilkinson,Aff
Dartmouth BG,UTD HK,Sam Price,Neg
UC Berkeley RM,Michigan State GS,Ralph Anderson,Aff
Kansas HF,Utah PP,Nigel Taylor-Ward,Neg
Kansas BB,Iowa BS,Tarang Mishra,Aff
Michigan SS,Baylor DL,Bella Piekut,Aff
Georgetown LN,Indiana DJ,Jay Fuchs,Neg
UC Berkeley BU,George Mason WW,Viveth Karthikeyan,Aff
Emory RY,Northwestern LR,Chad Meadows,Neg
Georgia CP,Liberty CL,Dawn Pierce,Neg
Oklahoma DT,Iowa KS,Joe Schatz,Neg
