Aff,Neg,Judge,Win
UTD HK,Kansas BW,William Jensen,Neg
Kansas BS,Dartmouth JR,Ian Dill,Aff
Macalester KH,Emory RY,Maeve Ella,Neg
Central Oklahoma EW,Emory ST,Grace McManus,Neg
Northwestern AP,Kansas LP,Sam Gustavson,Aff
Harvard DS,Emory LY,Zidao Wang,Neg
Emory GS,Georgetown AC,Kevin Hirn,Aff
George Mason WW,Northwestern LW,Nick Fleming,Aff
Emory GM,Michigan BL,Sripad Yadagiri,Aff
Minnesota HU,Kentucky SR,Tim Freehan,Neg
Kansas VL,Oklahoma DT,Benjamín Noriega,Neg
Michigan State JS,Michigan OJ,Johnnie Stupek,Aff
Emory KW,Houston HM,Parker Hopkins,Aff
James Madison MO,CSU Long Beach ES,Anjan Roy,Aff
Southern California BM,Michigan State GL,Ned Gidley,Neg
Iowa PA,Georgia CK,Jay Fuchs,Aff
Wyoming WW,Kansas ST,Jameson Balda,Neg
Northwestern LR,Dartmouth CG,Benjamin Morbeck,Aff
Michigan State FM,CSU Long Beach OM,John Nagy,Neg
George Mason RT,Western Kentucky NF,Anthony Trufanov,Neg
George Mason RS,Kansas FS,Max Wiessner,Aff
Northwestern LO,Iowa EW,Jaysyn Green,Aff
Kentucky GS,Wake Forest DE,Dan Bannister,Aff
Southern California TM,Northwestern PS,Eli T. Louis,Neg
Kansas WO,Southern California BR,jasmine stidham,Aff
Michigan BP,Binghamton CK,Chad Meadows,Aff
Utah PP,Northwestern AK,Matthew Wilkinson,Neg
Georgetown CX,West Point OS,Ashton Poindexter,Aff
Kansas State LW,Wyoming LW,Kaine Cherry,Aff
Liberty CL,Baylor MP,Alaina Walberg,Aff
Southern California DT,UC Berkeley BU,Young Kwon,Aff
Wyoming HP,UC Berkeley SG,Vincent H. Li,Neg
NYU JT,Northwestern LL,Storm Lasseter,Neg
NYU MS,George Mason ED,Tajaih Robinson,Aff
UTD DD,UC Berkeley RM,John Turner,Neg
Baylor DL,Emory KS,Ralph Anderson,Aff
Kansas FC,Houston IF,Jack Lassiter,Neg
Wake Forest LW,Emory SW,Jackie Poapst,Aff
UTD PR,Michigan SS,Zahir Shaikh,Neg
Wichita State GM,Wyoming CH,LaTonya Starks,Aff
Wake Forest AB,MoState NS,Rob Glass,Aff
Georgetown GT,Dartmouth BG,Margaret Hecht,Neg
Western Kentucky KC,Georgia CP,William Repko,Neg
Baylor BK,UTD HH,Temitope Ogundare,Aff
Texas GS,Southern Nazarene HS,Nyx Moore,Aff
Oklahoma DF,Trinity BK,Ari Davidson,Neg
Harvard CS,MoState DN,Tarang Mishra,Neg
Iowa KS,Wake Forest HN,Vida Chiri,Neg
Emory CR,Georgetown LN,Michael Swidecki,Aff
Binghamton PT,Dartmouth BC,Adam Lipton,Neg
Oklahoma BW,Kansas State DR,Flynn Makuch,Neg
UTD KR,Michigan CS,Mikaela Malsin,Neg
Indiana DJ,NYU KK,Nate Martin,Aff
Kansas SL,Emory AS,Kwudjwa Osei,Aff
Kansas AU,Michigan ES,Brandon Kelley,Neg
Trinity KP,Wake Forest PS,Tatianna Mckenzie,Neg
Cal State Fullerton MN,Northwestern HP,Kc Vernon,Aff
Kansas BP,Texas FL,Bella Piekut,Neg
Kansas State DS,James Madison KP,Lucia Hulsether,Neg
Michigan State GS,Kansas SS,kenny delph,Aff
Dartmouth GH,Kansas BB,Aaron Fernando,Neg
Emory CG,MoState BH,Dennis Savill,Aff
Iowa BS,Kansas HL,Ignacio Evans,Neg
Cal State Fullerton CD,Utah WV,Aaron Trujillo-,Neg
