Aff,Neg,Judge,Win
Emory ST,Kansas VL,Young Kwon,Aff
Michigan OJ,CSU Long Beach ES,Aryan Jasani,Neg
Trinity BK,Wyoming HP,Akif Choudhury,Neg
Texas GS,Georgetown GT,Jay Fuchs,Neg
Houston HM,Kansas State DS,Jaysyn Green,Aff
Michigan CS,Southern California TM,Megan Rodak,Neg
MoState GC,West Point OS,Nick Fleming,Aff
Dartmouth GH,Binghamton PT,Maeve Ella,Aff
Emory GS,Iowa KS,Ethan Harris,Aff
Dartmouth BC,Western Kentucky NF,Grace McManus,Neg
Georgetown AC,Wake Forest HN,Joe Schatz,Aff
Kansas ST,Utah PP,Dustyn Beutelspacher,Aff
Texas FL,Harvard DS,Graham Revare,Neg
Northwestern LO,Michigan BL,Gene Bressler,Neg
Wichita State GM,Emory LY,Ec Powers,Neg
Cal State Fullerton MN,Wyoming CH,Kevon Haughton,Aff
George Mason RS,Michigan State FM,Sam Gustavson,Neg
Kansas HL,NYU JT,Hunter McCullough,Neg
Michigan State GS,George Mason RT,Nate Martin,Aff
UTD HK,Northwestern LW,Benjamín Noriega,Aff
Michigan ES,MoState NS,Johnnie Stupek,Aff
Northwestern PS,Kansas FC,Adam Lipton,Aff
Iowa PA,Michigan BP,Irshad Reza Husain,Neg
UC Berkeley RM,NYU MS,Joshua Michael,Aff
Georgetown LN,Kentucky GS,Margaret Hecht,Neg
Southern California DT,Dartmouth JR,Ned Gidley,Neg
Emory RY,Southern California BM,Alex Mojica,Aff
Georgia CK,Kansas State LW,Cade Blenden,Aff
Trinity KP,Northwestern LR,Nigel Taylor-Ward,Neg
MoState DN,Kansas SS,Nine Abad,Neg
Emory KS,Dartmouth BG,Nick Loew,Aff
Michigan SS,Michigan State GL,Benjamin Morbeck,Aff
Kansas SL,Wyoming WW,Salma Waheed,Aff
Kansas HF,UC Berkeley SG,Jenny Vazquez Torres,Neg
Kansas BS,Emory AS,Jack Lassiter,Neg
Wake Forest MS,Wyoming LW,Alex Sherman,Aff
UTD DD,Wake Forest LW,Temitope Ogundare,Neg
Indiana FT,Michigan State JS,Tyler Vergho,Neg
Emory CR,Iowa BS,Matthew Wilkinson,Aff
Oklahoma DF,Northwestern HP,T Weddington,Neg
James Madison KP,Wake Forest DE,Chad Meadows,Neg
Dartmouth CG,Kansas AU,Gabriel Jankovsky,Aff
Georgia CP,Kansas BB,Roy Rinehart,Neg
Kansas BP,Harvard CS,Vincent H. Li,Aff
UTD HH,Kansas WO,Henry Mitchell,Neg
Northwestern LL,Western Kentucky KC,Kurt Fifelski,Neg
MoState BH,Oklahoma BW,Nick Lepp,Neg
George Mason WW,Kentucky SR,Jared DeMunbrun,Neg
Oklahoma DT,Emory SW,Eric Morris,Aff
Kansas BW,Southern California BR,Ben Biggs,Aff
Iowa EW,CSU Long Beach OM,Jameson Balda,Neg
Kansas LP,Emory CG,Sripad Yadagiri,Aff
UTD KR,Emory GM,Kenji Aoki,Neg
Minnesota HU,Baylor MP,Zidao Wang,Aff
James Madison MO,Houston IF,Ryan Cavanaugh,Neg
UTD PR,George Mason ED,Scott Phillips,Aff
UC Berkeley BU,Macalester KH,William Repko,Neg
Kansas FS,Baylor BK,Tessa Harper,Neg
Northwestern AP,Baylor DL,Trevor Turner,Neg
Georgetown CX,Liberty CL,DJ Williams,Neg
Northwestern AK,Dartmouth HP,Valerie McIntosh,Aff
Wake Forest PS,NYU KK,Nyx Moore,Aff
Cal State Fullerton CD,Emory KW,Jyleesa Hampton,Aff
Kansas State DR,Utah WV,Ignacio Evans,Aff
