Aff,Neg,Judges,Votes,Win
Papaya Valley SK,Barrington AC,"Evelyn Asay																																						Bryan Brooks																																						Amanda Ciocca","Neg																															Aff																															Neg","2-1																															NEG"
Little Rock Central GT,Cary Acad TB,"Joey Antonelli																																						Alyssa Yuan																																						Juan Boscan","Aff																															Neg																															Aff","2-1																															AFF"
Holy Trinity Episcopal AR,Harker AA,"Elmer Yang																																						Jonathan Meza																																						Colton Gilbert","Neg																															Neg																															Aff","2-1																															NEG"
Peninsula SU,Southlake Carroll IM,"Shrayes Gunna																																						Chelsea Hodgson																																						Michael Harris","Aff																															Aff																															Aff","3-0																															AFF"
Northview JZ,City Honors JB,"Ishan Rereddy																																						Saketh Kotapati																																						Bhavya Mehta","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook AS,Lexington OO,"Carlye Sanchez																																						Briajia Levi																																						Shawn Lo","Neg																															Neg																															Neg","3-0																															NEG"
Horace Greeley AM,Harrison SE,"Scott Brown																																						Aimee Trivino																																						Lily Nakakura","Aff																															Aff																															Neg","2-1																															AFF"
Park Vista CN,Hill JG,"David Guidry																																						Maddie Augustine																																						Vik Maan","Neg																															Aff																															Aff","2-1																															AFF"
Horace Greeley CC,BASIS Silicon Valley VP,"Lucky Chiniasye																																						Rob Sosa																																						Jade Wu","Neg																															Aff																															Aff","2-1																															AFF"
Holy Trinity Episcopal CH,Berkeley Carroll JH,"Jordan Brown																																						Jacob Nails																																						Kush Vijapure","Aff																															Aff																															Neg","2-1																															AFF"
Pingry SH,Woodlands Independent ML,"Cyrus Jackson																																						Monben Mayon																																						James Jude","Aff																															Aff																															Neg","2-1																															AFF"
McNeil NV,Northern Valley AC,"Brian Son																																						Mehul Jain																																						Akshay Agarwal","Aff																															Aff																															Aff","3-0																															AFF"
Dougherty Valley SL,Lynbrook OM,"Kenneth McMillen																																						Sam Anderson																																						Ilan Boguslavsky","Neg																															Neg																															Neg","3-0																															NEG"
Riverside Independent SH,Phillips Exeter Independent TH,"Zhiying Hu																																						Pranjal Verma																																						Matt Cekanor","Neg																															Neg																															Aff","2-1																															NEG"
Dougherty Valley PN,West HS SLC LM,"Emilio Garza																																						Kate Totz																																						Adam Lipton","Neg																															Neg																															Aff","2-1																															NEG"
Bellevue Youth AM,BASIS Silicon Valley JK,"Matthew Chi																																						Lydia Wang																																						Nitty Reddy","Neg																															Neg																															Neg","3-0																															NEG"
