Aff,Neg,Judge,Win
Kansas MH,Georgetown GT,Irshad Reza Husain,Neg
Minnesota BM,Western Kentucky FN,Lucia Hulsether,Neg
Emory GR,MoState NS,Sherry Hall,Aff
Indiana TF,Michigan State JS,Azja Butler,Neg
Northwestern LR,Emory CR,Nate Martin,Aff
Kansas UA,Emory ST,Joey Tarnowski,Aff
CSU Long Beach OM,Western Kentucky KC,Patrick Carbone,Neg
Baylor LP,Kentucky GS,Ben Biggs,Neg
George Mason RS,Michigan State FM,Chad Meadows,Neg
Michigan State GL,Western Kentucky SS,Dallas Perkins,Aff
Kansas LS,Liberty CL,Dennis Savill,Neg
Northwestern AT,Kansas State SR,Cade Blenden,Aff
Southern Nazarene HS,Georgetown LN,Tatianna McKenzie,Neg
George Mason RT,MoState DN,Nick Fleming,Neg
Macalester WD,Emory AS,Jacob Wilkus,Neg
UTD DD,Georgia CP,Ned Gidley,Aff
Texas FL,Michigan BL,Jared DeMunbrun,Aff
Northwestern HP,Macalester KH,Kristiana Baez-Gustavson,Neg
UTD KR,Minnesota HU,John Turner,Neg
Kansas BW,Kentucky SR,Sam Gustavson,Neg
UTD PR,Kansas LL,Addison Wagner,Aff
Michigan CC,Michigan State GS,Holden Bukowsky,Aff
Kansas BP,Georgia CL,Gene Bressler,Aff
Southern California BR,UTD KH,Lawson Hudson,Neg
George Mason WW,Northwestern AK,Dustyn Beutelspacher,Aff
,Dartmouth BP,Lauren McBlain,Neg
UC Berkeley GS,Northwestern LW,Alaina Walberg,Neg
UC Berkeley RM,Kansas SB,Jeff Buntin,Aff
Michigan SS,Kansas TC,Josiah Ferguson,Aff
Emory LY,George Mason DE,Alex Mojica,Aff
Southern California ZB,Michigan AO,Noah Reed,Neg
Kansas LV,Liberty SS,Ari Davidson,Neg
Michigan BE,Kansas SM,Roy Rinehart,Aff
Kansas WO,Wake Forest DK,Adam Lee,Aff
