Aff,Neg,Judge,Win
Western Kentucky SS,George Mason WW,William Repko,Neg
Michigan State FM,Baylor LP,Heather Hall,Aff
Michigan State GS,UC Berkeley RM,Adam Lee,Neg
Dartmouth BP,Michigan AO,Jordan Di,Neg
Michigan CC,Liberty CL,Roy Rinehart,Aff
Northwestern AT,Georgetown GT,Ben Biggs,Aff
George Mason RT,Northwestern LW,Jared DeMunbrun,Neg
Kansas BW,Kentucky GS,Addison Wagner,Neg
Western Kentucky KC,Michigan SS,Alex Mojica,Neg
UTD DD,Southern California BR,Geoff Lundeen,Neg
Kansas TC,MoState NS,Rob Glass,Aff
Minnesota HU,Michigan State GL,Aaron Kall,Neg
Kansas LS,UTD KH,Sophia Dal Pra,Aff
Georgia CP,CSU Long Beach OM,Gene Bressler,Neg
Emory AS,George Mason DE,Maeve Ella,Aff
Northwestern HP,Western Kentucky FN,Dustyn Beutelspacher,Neg
Emory GR,Michigan BE,Josiah Ferguson,Aff
Kansas UA,UTD PR,Kevin McCaffrey,Aff
Michigan BL,Georgetown LN,Joey Tarnowski,Neg
Northwestern LR,Texas FL,Tony Miklovis,Aff
Kansas WO,Emory LY,Avalyn Renee,Aff
Georgetown CA,Macalester KH,Allegro Wang,Neg
Michigan State JS,Emory CR,Jeff Buntin,Aff
Kansas LV,Kentucky SR,Lawson Hudson,Neg
Northwestern AK,Kansas State SR,Eric Morris,Neg
George Mason RS,Georgia CL,Sam Price,Aff
MoState DN,Liberty SS,Matt Conway,Neg
Kansas SB,Wake Forest DK,Hunter McCullough,Aff
Kansas SM,Macalester WD,Ralph Anderson,Neg
Kansas LL,Southern California ZB,Kristiana Baez-Gustavson,Aff
Kansas MH,UC Berkeley GS,Tarang Mishra,Neg
Emory ST,Indiana TF,Sam Gustavson,Aff
Minnesota BM,UTD KR,Noah Reed,Neg
