Aff,Neg,Judge,Win
Georgia CP,Macalester WD,Solomon Watson,Aff
Michigan State FM,UTD DD,Ben Biggs,Aff
Northwestern AK,UTD HH,Addison Wagner,Aff
Kentucky SR,George Mason RT,Maverick Edwards,Neg
Georgetown LN,Northwestern AT,Gene Bressler,Neg
Dartmouth BP,George Mason WW,Nate Martin,Neg
MoState DN,Kansas LS,Tiff Imbimbo,Neg
Kentucky GS,Michigan State GL,Aaron Fernando,Neg
Western Kentucky SS,George Mason RS,Alex McVey,Aff
Emory ST,Baylor LP,Kevin Hirn,Neg
Georgetown CA,CSU Long Beach OM,Beau Larsen,Aff
Michigan State JS,Kansas UA,Heather Hall,Neg
Western Kentucky FN,Northwestern LR,Peyton Reeves,Neg
Emory CR,Indiana TF,Holden Bukowsky,Aff
MoState NS,Minnesota BM,Ned Gidley,Aff
Georgetown GT,Emory GR,Maeve Ella,Neg
Wake Forest DK,Kansas MH,Morgan Copeland,Aff
Kansas SB,Michigan BE,Lauren McBlain,Neg
Michigan AO,Kansas WO,Joey Tarnowski,Neg
Kansas SM,Southern California ZB,Alex Mojica,Neg
Kansas State SR,Kansas LV,Dustyn Beutelspacher,Neg
Liberty SS,Emory LY,Hunter McCullough,Neg
George Mason DE,UC Berkeley RM,Dawn Pierce,Aff
Northwestern LW,Michigan SS,Noah Reed,Neg
Kansas TC,UC Berkeley GS,Kristiana Baez-Gustavson,Aff
Georgia CL,Michigan CC,William Repko,Neg
UTD KH,Kansas BP,Benjamín Noriega,Aff
Emory AS,UTD PR,Alaina Walberg,Neg
Kansas LL,Southern California BR,Dennis Savill,Neg
Minnesota HU,Kansas BW,Ethan Greer,Neg
Michigan State GS,UTD KR,Irshad Reza Husain,Aff
Macalester KH,Texas FL,John Turner,Aff
Michigan BL,Northwestern HP,Patrick Carbone,Neg
