Aff,Neg,Judge,Win
Kansas State SR,Kansas TC,Ari Davidson,Neg
Dartmouth BP,Kansas WO,Valerie McIntosh,Neg
Michigan State GL,Michigan BE,Jacob Wilkus,Neg
UC Berkeley GS,Michigan AO,Nick Loew,Neg
Liberty CL,Macalester WD,Alex McVey,Aff
CSU Long Beach OM,Kansas LV,Eric Morris,Aff
UTD KR,Northwestern LW,Ben Biggs,Neg
George Mason DE,Kentucky GS,Jared DeMunbrun,Neg
Emory ST,Kansas SB,Holden Bukowsky,Neg
Emory AS,Liberty SS,Ralph Anderson,Aff
Georgia CP,Kansas SM,Addison Wagner,Aff
Emory GR,Northwestern AT,Ned Gidley,Aff
Emory LY,Western Kentucky FN,Kevin McCaffrey,Aff
Indiana TF,Michigan BL,Tarang Mishra,Neg
UC Berkeley RM,Kansas LL,Carly Wunderlich,Aff
UTD KH,Michigan State GS,Rob Glass,Aff
Georgetown CA,Kansas UA,Dustyn Beutelspacher,Aff
Northwestern HP,Michigan CC,Cade Blenden,Neg
Georgetown LN,UTD PR,Joe Weideman,Neg
Northwestern AK,Minnesota HU,Kevin Hirn,Neg
George Mason WW,Kansas LS,Lauren McBlain,Neg
Western Kentucky SS,Macalester KH,Alex Mojica,Neg
Michigan State JS,Michigan SS,Nick Fleming,Neg
Kentucky SR,Kansas MH,Tatianna McKenzie,Aff
Northwestern LR,Kansas BP,Noah Reed,Aff
George Mason RS,Minnesota BM,Manny Navarrete,Aff
Texas FL,MoState NS,Tiff Imbimbo,Aff
Michigan State FM,Georgetown GT,Sophia Dal Pra,Neg
UTD DD,Wake Forest DK,Devane Murphy,Aff
George Mason RT,Western Kentucky KC,Alex Barreto,Neg
Southern California BR,Kansas BW,Johnnie Stupek,Neg
Southern California ZB,Baylor LP,Brian DeLong,Neg
Emory CR,MoState DN,Graham Revare,Aff
