Aff,Neg,Judge,Win
Georgia CL,UC Berkeley GS,Devane Murphy,Neg
Western Kentucky KC,Northwestern LR,Gene Bressler,Aff
Kansas WO,Georgetown CA,John Katsulas,Neg
Kansas MH,Emory ST,Hunter McCullough,Aff
Georgetown GT,Emory CR,Joe Weideman,Aff
Kansas BW,Emory AS,Joey Tarnowski,Aff
Baylor LP,Northwestern HP,Nate Martin,Neg
Minnesota HU,Michigan State JS,Allegro Wang,Neg
Michigan SS,UTD KH,Irshad Reza Husain,Aff
MoState NS,Kentucky SR,Joe Patten,Aff
Kentucky GS,UC Berkeley RM,Tarang Mishra,Aff
Kansas SM,Indiana TF,William Repko,Aff
Liberty SS,George Mason RT,Benjamín Noriega,Neg
Macalester KH,George Mason WW,Flynn Makuch,Aff
Kansas TC,Texas FL,Adrienne Brovero,Neg
Michigan BE,Emory LY,Jared Spiers,Aff
Wake Forest DK,Dartmouth BP,Jared DeMunbrun,Neg
Kansas LS,Georgia CP,Matt Conway,Aff
Michigan CC,Michigan State GL,Nick Fleming,Neg
Kansas BP,Northwestern AK,Geoff Lundeen,Aff
Macalester WD,George Mason RS,Sam Gustavson,Aff
Michigan AO,Georgetown LN,Eric Morris,Neg
Kansas SB,Kansas State SR,Dennis Savill,Neg
Northwestern AT,Liberty CL,Peyton Reeves,Aff
Kansas LL,UTD KR,Sophia Dal Pra,Aff
UTD PR,Emory GR,Avalyn Renee,Neg
Kansas UA,Michigan State FM,Addison Wagner,Aff
Kansas LV,George Mason DE,Kwudjwa Osei,Neg
Western Kentucky FN,UTD DD,Alex Barreto,Aff
Northwestern LW,Southern California BR,Brett Bricker,Neg
MoState DN,Western Kentucky SS,Cade Blenden,Neg
Michigan State GS,Southern California ZB,Beau Larsen,Aff
