Aff,Neg,Judge,Win
Iowa City West VD,Bellevue Youth AM,Misty Wang,Aff
Marvin Ridge SR,Marlborough DK,Tania Vasquez,Neg
Montgomery BG,Ridge SK,Michael Harris,Neg
Gunn IT,ModernBrain MG,Jade Wu,Aff
Brophy KL,Archbishop Mitty AG,Parthiv Shah,Aff
Marlborough SS,Loyola MT,Ethan Chen,Aff
BASIS Silicon Valley VP,Walt Whitman SC,Srinivasan Kannan Ramarao,Neg
Bellevue Youth IH,Lincoln Northwest AR,Aravind Kandala,Aff
Altamont MC,Marlborough CSa,Katerina Panagiotopoulos,Neg
American RA,Bellevue Youth MY,Fang Yang,Neg
Brearley IL,Northland Christian LM,Joel Henson,Aff
Archbishop Mitty NM,Phillips Exeter ES,Jacob Nails,Neg
Marquette GY,Awty International RY,Rob Sosa,Neg
Papaya Valley AA,Ridge HK,Sabeeh Mirza,Neg
Lake Highland Prep NA,Trinity Prep GP,Nicholas Ford,Aff
Golden State KB,Valley Christian AK,Gopal kumar,Neg
Dougherty Valley TT,Dublin SG,Lucky Chiniasye,Aff
BASIS Peoria Independent SC,New York State Independent LL,Gerard Grigsby,Neg
Memorial EJ,Archbishop Mitty AM,Truman Le,Aff
ModernBrain GH,Edgemont VS,Charu Lata,Neg
Brophy VW,ModernBrain AH,Garrett Bishop,Aff
Phillips Exeter AD,West Des Moines Valley JC,Hunniya Ahmad,Neg
Holy Trinity Episcopal AR,Harrison SE,Scott Brown,Aff
ModernBrain ID,Marlborough AK,Elizabeth Elliott,Neg
Marlborough CS,Dougherty Valley SV,David Guidry,Neg
Lynbrook NM,Marlborough EF,Ronak Patel,Aff
American Heritage Broward DA,Dougherty Valley NM,David Pisapia,Neg
Hunter GK,Dougherty Valley AK,Wyllene Turner,Aff
Coppell KT,Loyola JR,Martin Saenz,Aff
Montgomery DM,Northern Valley AC,Haiet Ashar,Neg
Awty International DR,Marlborough EL,Adam Mimou,Aff
West HS SLC LM,Clear Lake CW,Chansey Agler,Neg
Hunter AC,Princeton Day MW,Rowan MacLean,Aff
Hill SM,Harvard-Westlake KM,Lesly De Anda,Neg
Clear Lake RZ,Colleyville Heritage CB,Andrew Park,Aff
Lynbrook AS,Cabot KB,Patrick Fox,Neg
Loyola AK,Woodlands Independent ML,Saied Beckford,Neg
West Des Moines Valley ER,Bellevue Youth NW,Seth Hillsberry,Aff
Golden State CW,Bellevue Youth KZ,Saketh Kotapati,Neg
City Honors JB,Marlborough AL,Carlye Sanchez,Aff
Dougherty Valley MJ,Millard North CB,Briajia Levi,Neg
ModernBrain SP,Elkins SS,Jonathan Meza,Neg
Harvard-Westlake JW,BASIS Scottsdale JV,Nelson Okunlola,Neg
Westwood DV,Marlborough JW,Lydia Wang,Aff
Berkeley Independent DG,Riverside Independent PK,Lydia Aklilu,Aff
Cherry Hill HS East CR,Able2Shine ES,Sophie Mackay,Neg
Sharks Independent KW,Ridge AB,Matt Casas,Aff
Brophy AS,Dougherty Valley SL,Hunter Harwood,Neg
BASIS Scottsdale AK,Dougherty Valley HS,Amadea Datel,Aff
Velásquez RK,Lake Highland Prep SS,Sonali Nicola,Neg
Lake Washington KK,Universe 7 TD,Amit Fulay,Neg
Chaminade OS,Syosset AH,Elina Lee,Aff
Lynbrook RS,Trinity Prep SH,Faizaan Dossani,Aff
Albuquerque VM,West Des Moines Valley SS,Pinkky Shah,Neg
Horace Greeley AM,ADL VK,Judah Jones,Aff
Interlake MZ,Marlborough MF,Shawn Lo,Neg
