Aff,Neg,Judge,Win
West Des Moines Valley AR,Bellevue Youth MT,Rich Simon,Neg
Bellevue Youth NW,ModernBrain TK,Vasu Salver,Aff
Golden State KB,Hill SM,Cindy Chanay,Neg
Syosset AH,Marlborough GC,Wyllene Turner,Neg
Clear Lake CW,Lynbrook ST,Asher Meron,Aff
Loyola TH,Lynbrook BZ,Truman Le,Neg
Archbishop Mitty AM,Troy Independent JK,Gopal kumar,Aff
American Heritage Broward ES,Langham Creek EY,Joel Henson,Neg
Montgomery DM,Golden State IT,Pinkky Shah,Aff
St Thomas CO,Westwood SM,Jordan Brown,Neg
Phillips Exeter AD,Brophy AS,David Guidry,Neg
Brophy NR,Wayzata AR,Devin Jiang,Aff
Bellevue Youth ZF,Interlake RM,Lucky Chiniasye,Aff
Sharks Independent WL,Lynbrook RS,Nicholas Ford,Aff
ModernBrain DL,Northern Valley AC,Brie Thomas McGinnis,Aff
Westwood DV,Gunn EE,Lydia Aklilu,Aff
Riverside Independent SH,MSTW Independent AP,Holden Bukowsky,Aff
New York State Independent LL,Marlborough OO,Judah Jones,Neg
Able2Shine MS,Bellevue Youth AM,Jonathan Meza,Aff
Edgemont AG,Awty International DR,Michael Harris,Neg
Altamont SB,Gunn SP,Sabeeh Mirza,Neg
Harvard-Westlake AS,Elkins SS,Tania Vasquez,Aff
West Des Moines Valley SS,Stanford OHS ES,Pranjal Verma,Aff
Brearley IL,Mission San Jose MW,Martin Saenz,Aff
Able2Shine ZZ,Vista Del Lago AS,Elinor Goggio,Neg
Dublin SG,American Heritage Broward KB,Amit Fulay,Aff
Altamont WM,Able2Shine ES,Brianna Aaron,Aff
Holy Trinity Episcopal AR,Altamont MC,Dash Gilrain,Neg
New York State Independent AS,Awty International RY,Michael Pulver,Aff
West HS SLC KS,American Heritage Broward SL,Kushagra Mahajan,Aff
Awty International AZ,Brophy VW,Misty Wang,Aff
Phillips Exeter JMa,Wayzata NS,David McGinnis,Neg
Dougherty Valley HS,Phillips Exeter KG,Anish Mehta,Neg
Iowa City West VD,Ridge AB,Anthony Berryhill,Neg
Dougherty Valley SL,Marlborough AK,Patrick Fox,Aff
Hunter GK,Lake Highland Prep AW,Chloe Wolf,Neg
Able2Shine MH,Phillips Exeter HZ,Hunniya Ahmad,Aff
Marlborough JK,Dougherty Valley PN,Michael Brand,Neg
Montgomery BG,Bellevue Youth AR,Subrata Saharoy,Neg
Papaya Valley SK,Maccabees RS,Nethmin Liyanage,Aff
ModernBrain JR,Marlborough CS,Ronak Patel,Aff
Brophy KL,American Heritage Broward DA,Zhiying Hu,Aff
Woodlands Independent ML,Horace Greeley SG,Briajia Levi,Neg
Colleyville Heritage CB,Archbishop Mitty AG,Rowan MacLean,Aff
Valley Christian AK,ADL VK,Grant Brown,Neg
Sharks Independent KW,Veritas Independent TI,Avery Wilson,Neg
Bellevue Youth MY,Lynbrook AS,Gordon Krauss,Neg
Phillips Exeter SA,American RA,Nidhi Tiwary,Neg
Laurel CW,Dougherty Valley TT,Dilbagh Chahal,Aff
Berkeley Independent DG,Horace Greeley AM,Scott Brown,Neg
Interlake MZ,ModernBrain GH,Srivani Uppalapati,Aff
Littleton MK,Trinity Prep GP,David Jia,Neg
Phillips Exeter TH,City Honors JB,Lydia Wang,Neg
Interlake JP,Coppell KT,Reece Aguilar,Neg
Papaya Valley AA,Gabrielino OL,Norma Delgado,Neg
Lake Highland Prep NA,Bellevue Youth KZ,Riya Shenvi,Aff
ModernBrain SP,Marlborough SW,Adam Mimou,Aff
American Heritage Broward NS,Ridge AM,Sonali Nicola,Neg
Memorial EJ,Lynbrook NM,Joseph Hong,Aff
Marlborough CSa,Northwood NC,Haiet Ashar,Neg
Princeton Day MW,Marvin Ridge SR,Maria Manousakis,Aff
Lake Washington KK,Marlborough EF,Ishan Rereddy,Aff
Velásquez RK,ModernBrain AH,Sreenivasulu Kankanala,Aff
Hunter AC,Brophy CC,Arjun Chopra,Aff
Northwood JS,BASIS Silicon Valley YS,Justin Schnitzer,Neg
Kent Denver CM,Millard North CB,Matt Casas,Neg
West Des Moines Valley JC,Edgemont VS,Ross Johnson,Neg
Stanford OHS YZ,West Des Moines Valley DN,Gallo Patel,Neg
Marquette GY,Marlborough JW,Ethan Chen,Neg
Ridge SK,Berkeley Carroll JH,Nathan Weimar,Aff
ModernBrain GC,Northland Christian LM,Nelson Okunlola,Neg
Dougherty Valley NM,Peninsula JE,Hunter Harwood,Neg
Golden State JM,Horace Greeley CC,Saied Beckford,Neg
Valley Christian VX,Brearley IM,Elizabeth Elliott,Aff
BASIS Silicon Valley VP,Loyola MT,Chansey Agler,Aff
Golden State JZ,Albuquerque VM,Saketh Kotapati,Aff
Cabot KB,Harvard-Westlake OF,Daniel Medina,Aff
Golden State PP,Cary Acad LM,Isabella Maldia,Neg
