Aff,Neg,Judge,Win
Phillips Exeter KG,Marlborough SS,Madeline Hosking,Neg
Edgemont VS,West Des Moines Valley DN,Briajia Levi,Neg
ModernBrain JH,Marvin Ridge SR,Saroj Motwani,Neg
ModernBrain TK,Sharks Independent KW,Nathan Weimar,Neg
Horace Greeley SG,Phillips Exeter JMa,Sonali Nicola,Aff
American Heritage Broward SL,Horace Greeley AM,Martin Saenz,Neg
Stanford OHS ES,Peninsula AK,Chansey Agler,Aff
Golden State JM,Velásquez RK,Nelson Okunlola,Aff
Brophy CC,Altamont MC,Matt Casas,Aff
ADL VK,Brophy KL,Clara Han,Aff
Dougherty Valley HS,Maccabees RS,Anthony Berryhill,Neg
Golden State IT,Lake Washington KK,Yalin Wang,Neg
Trinity Prep SH,Chaminade OS,Abhi Elisetty,Neg
Syosset AP,Papaya Valley SK,Parthiv Shah,Aff
West Des Moines Valley JC,ModernBrain JR,Lydia Aklilu,Neg
Marlborough EF,New York State Independent AS,Gordon Krauss,Aff
ModernBrain MG,West HS SLC KS,Joseph Barquin,Aff
Dougherty Valley AK,Berkeley Carroll JH,Asher Meron,Neg
American Heritage Broward KB,West Des Moines Valley ER,Rob Sosa,Neg
Bellevue Youth AM,Coppell KT,Daniel Medina,Neg
Peninsula JE,Marlborough JK,Saketh Kotapati,Aff
Loyola MT,St Luke's SM,Michael Harris,Aff
Phillips Exeter ES,Interlake MZ,Prakash Murali,Aff
Princeton Day MW,Albuquerque VM,Arjun Chopra,Aff
Altamont SB,Golden State JZ,Nethmin Liyanage,Aff
Altamont JG,Bellevue Youth ZF,Gallo Patel,Aff
Ridge AB,Hill SM,Hunniya Ahmad,Neg
Sehome Independent RS,Marlborough EP,Maria Manousakis,Aff
Troy Independent JK,Golden State AB,Hunter Harwood,Aff
Langham Creek EY,Brophy AS,Seth Hillsberry,Neg
Lincoln Northwest AR,Stanford OHS YZ,Drew Benthein,Neg
Valley Christian VX,Awty International DR,Patrick Tapia,Neg
Ridge HK,Lynbrook AS,Amadea Datel,Neg
Cary Acad TB,Pinewood CA,Scott Brown,Neg
Harrison SE,Montgomery DM,Brianna Aaron,Aff
George Washington IF,Mission San Jose MW,Justin Schnitzer,Aff
Bellevue Youth NW,Wayzata AR,Beth Williams,Neg
Interlake JP,Dougherty Valley PN,Truman Le,Aff
Archbishop Mitty AG,Holy Trinity Episcopal AR,Haiet Ashar,Aff
Valley Christian AK,ModernBrain ID,David Pisapia,Aff
Marlborough MF,Montgomery BG,Ishan Rereddy,Aff
ModernBrain AH,Brearley IM,Wyllene Turner,Neg
Marlborough SW,Cherry Hill HS East CR,Michael Brand,Neg
Marlborough CSa,Hunter AC,Ryan Morgan,Neg
Dougherty Valley NM,Lynbrook NM,Coralynn Yang,Neg
Marlborough AK,Gunn SP,Adam Mimou,Neg
Marlborough GC,Park Vista CN,David Coates,Neg
Ridge SK,Golden State KB,David McGinnis,Aff
Elkins SS,West Des Moines Valley AR,Saied Beckford,Aff
BASIS Scottsdale JV,Marlborough CS,Reece Aguilar,Aff
Dougherty Valley SV,Veritas Independent TI,Grant Brown,Neg
ModernBrain GC,Lake Highland Prep AW,Brie Thomas McGinnis,Neg
American Heritage Broward ES,Sharks Independent JZ,Denitsa Zvetkova,Aff
Dougherty Valley SL,Bellevue Youth MT,Garrett Bishop,Aff
St Thomas CO,Cary Acad LM,Anderson Hendrix,Aff
Awty International RY,City Honors JB,Rowan MacLean,Neg
American Heritage Broward NS,Harvard-Westlake JW,Jordan Brown,Neg
Trinity Prep GP,Phillips Exeter JM,Patrick Fox,Aff
Holy Trinity Episcopal CH,Harvard-Westlake AS,David Guidry,Aff
ModernBrain DL,Golden State CW,Isabella Maldia,Aff
Marlborough AL,Brophy AP,Hudson Nguyen,Aff
Edgemont SS,Loyola AK,Ivan Lin,Aff
Harvard-Westlake KM,Sharks Independent WL,Shawn Lo,Neg
West Des Moines Valley SS,Lynbrook RS,Gopal kumar,Neg
Lake Highland Prep SS,Marlborough OO,Lydia Wang,Neg
Lynbrook ST,Altamont MF,Nicholas Ford,Aff
Riverside Independent PK,Phillips Exeter AD,Misty Wang,Neg
Wayzata NS,Harvard-Westlake OF,Cyrus Jackson,Neg
Kent Denver CM,Iowa City West VD,Norma Delgado,Aff
Universe 7 TD,BASIS Silicon Valley VP,Joseph Flores,Neg
Altamont WM,Northwood NC,Isaiah Salgado,Neg
Dublin SG,Hunter GK,Meryem Anderoglu,Neg
Loyola TH,Riverside Independent OT,Fiona Hu,Aff
Phillips Exeter HZ,Berkeley Independent DG,Conal Thomas-McGinnis,Neg
Bellevue Youth AR,Lake Highland Prep NA,Michael Pulver,Neg
Able2Shine MH,ModernBrain SP,Elvis Pineda,Neg
Golden State KS,Edgemont AG,Elinor Goggio,Neg
Loyola EM,American Heritage Broward DA,Joseph Hong,Aff
Bellevue Youth MY,Phillips Exeter SA,Kushagra Mahajan,Aff
Interlake RM,Archbishop Mitty NM,Elina Lee,Neg
Northland Christian LM,Lynbrook BZ,Vontrez White,Neg
Cabot KB,Westwood AT,Chloe Wolf,Aff
Marlborough DK,Littleton MK,Elizabeth Elliott,Aff
Clear Lake CW,Archbishop Mitty AGo,Jonathan Meza,Aff
Riverside Independent SH,Lynbrook VK,Jacob Nails,Aff
Loyola JR,Golden State PP,Gerard Grigsby,Neg
Woodlands Independent ML,Dougherty Valley MJ,Emilio Garza,Aff
Marlborough JW,Papaya Valley AA,Andrew Park,Neg
Walt Whitman SC,Westwood DV,Anju Gupta,Aff
Bellevue Youth KZ,Able2Shine ZZ,Sabeeh Mirza,Aff
Archbishop Mitty AM,Bellevue Youth IH,Fang Yang,Aff
Vista Del Lago AS,Northwood JS,Jules Yang,Neg
Ridge AM,Clear Lake RZ,Holden Bukowsky,Neg
MSTW Independent AP,ModernBrain GH,Carlye Sanchez,Aff
Northern Valley AC,Brophy VW,Ethan Chen,Neg
Loyola JP,Marquette GY,Katerina Panagiotopoulos,Neg
Brophy NR,BASIS Scottsdale AK,Joel Henson,Aff
Horace Greeley CC,Brearley IL,Cindy Chanay,Aff
Phillips Exeter TH,American RA,Platon Kryukov,Aff
