Aff,Neg,Judge,Win
BASIS Silicon Valley YS,Phillips Exeter JMa,Lucky Chiniasye,Aff
Phillips Exeter HZ,Bellevue Youth ZF,Elinor Goggio,Aff
Brophy AS,George Washington IF,Arjun Chopra,Neg
Marlborough SW,Northwood JS,Haiet Ashar,Neg
Marlborough AL,Marquette GY,Emilio Garza,Aff
Wayzata NS,Altamont JG,Nathan Weimar,Neg
Marlborough AK,Universe 7 TD,Shawn Lo,Aff
Altamont MC,Loyola GY,Madeline Hosking,Aff
Millard North CB,Valley Christian VX,Yalin Wang,Aff
Berkeley Carroll JH,Berkeley Independent DG,Daniel Medina,Neg
ModernBrain MG,West HS SLC LM,Sabeeh Mirza,Neg
Peninsula AK,Montgomery BG,Platon Kryukov,Aff
Ridge AB,West HS SLC KS,Dash Gilrain,Aff
Archbishop Mitty NM,ModernBrain SP,David Pisapia,Aff
Northern Valley AC,Holy Trinity Episcopal AR,Elvis Pineda,Aff
Bellevue Youth MT,Syosset AH,Nidhi Tiwary,Neg
Golden State AB,New York State Independent AS,Nethmin Liyanage,Neg
Brophy VW,Dougherty Valley SL,Avery Wilson,Aff
Gunn SP,Woodlands Independent ML,Nelson Okunlola,Aff
ModernBrain ID,Riverside Independent PK,Subrata Saharoy,Neg
Lynbrook NM,Lake Highland Prep NA,Holden Bukowsky,Aff
Harvard-Westlake KM,American Heritage Broward NS,Denitsa Zvetkova,Aff
Langham Creek EY,Phillips Exeter JM,Cyrus Jackson,Aff
Edgemont SS,BASIS Silicon Valley VP,Hunter Harwood,Neg
Marlborough JW,Trinity Prep SH,Jules Yang,Aff
Lynbrook RS,Kent Denver CM,Ryan Morgan,Aff
Harvard-Westlake OF,ModernBrain DL,Jacob Nails,Aff
Stanford OHS ES,Westwood DV,Saied Beckford,Neg
ModernBrain JH,Dublin SG,Sophie Mackay,Aff
Elkins SS,Loyola TH,Andrew Park,Neg
Loyola MT,Lynbrook VK,Asher Meron,Aff
Bellevue Youth AM,Loyola JR,Miao Zhang,Aff
Golden State IT,Altamont WM,Sonali Nicola,Neg
Sehome Independent RS,Riverside Independent SH,Amadea Datel,Neg
Hill SM,Cherry Hill HS East CR,Drew Benthein,Neg
West Des Moines Valley DN,Phillips Exeter AD,Patrick Tapia,Aff
Phillips Exeter KG,Velásquez RK,Wyllene Turner,Aff
Brophy CC,Edgemont AG,Carlye Sanchez,Neg
Edgemont VS,Marlborough CSa,Misty Wang,Neg
Marlborough MF,Cabot KB,Chansey Agler,Neg
Horace Greeley SG,Clear Lake CW,David McGinnis,Neg
Ridge AM,Phillips Exeter SA,Cindy Chanay,Aff
Trinity Prep GP,Loyola JP,Joseph Flores,Neg
Lynbrook ST,Bellevue Youth MY,Michael Brand,Aff
Marlborough OO,Valley Christian AK,Coralynn Yang,Aff
West Des Moines Valley ER,St Thomas CO,Rowan MacLean,Neg
Clear Lake RZ,Marlborough DK,Adam Mimou,Aff
Sharks Independent JZ,Bellevue Youth IH,Amanda Ciocca,Aff
Lincoln Northwest AR,Littleton MK,Michael Pulver,Neg
ADL VK,Brophy AP,Riya Shenvi,Aff
ModernBrain AH,Altamont MF,David Jia,Neg
Dougherty Valley TT,West Des Moines Valley SS,Jade Wu,Aff
St Luke's SM,Laurel CW,Joseph Barquin,Neg
Marlborough EF,Loyola EM,Elizabeth Elliott,Neg
ModernBrain TK,Golden State KB,Anthony Berryhill,Neg
Dougherty Valley PN,Iowa City West VD,Joel Henson,Aff
Lynbrook BZ,Stanford OHS YZ,Joseph Hong,Aff
Lynbrook AS,Able2Shine MH,Vontrez White,Aff
Riverside Independent OT,West Des Moines Valley AR,Aravind Kandala,Aff
Archbishop Mitty AG,Harvard-Westlake AS,Gerard Grigsby,Neg
American RA,Dougherty Valley HS,Meryem Anderoglu,Neg
Marlborough SS,Altamont SB,Reece Aguilar,Neg
BASIS Peoria Independent SC,Archbishop Mitty AM,Haiping Wang,Neg
American Heritage Broward KB,Interlake MZ,Elina Lee,Neg
Bellevue Youth AR,Loyola AK,Lesly De Anda,Neg
City Honors JB,Hunter GK,Isaiah Salgado,Aff
Westwood SM,American Heritage Broward ES,Brie Thomas McGinnis,Aff
Gabrielino OL,Awty International AZ,Patrick Fox,Neg
Marlborough CS,Dougherty Valley MJ,Truman Le,Aff
Park Vista CN,Phillips Exeter TH,Lydia Aklilu,Neg
Brearley IM,Dougherty Valley SV,Matt Casas,Neg
BASIS Scottsdale AK,Gunn IT,Fiona Hu,Aff
Golden State KS,Dougherty Valley NM,Zakai Petilon,Neg
Bellevue Youth KZ,Holy Trinity Episcopal CH,Brianna Aaron,Neg
Northland Christian LM,Bellevue Youth NW,Faizaan Dossani,Aff
Maccabees RS,ModernBrain JR,Pinkky Shah,Aff
Mission San Jose MW,Brophy NR,Saroj Motwani,Aff
Awty International DR,Golden State PP,Kushagra Mahajan,Aff
Peninsula JE,Princeton Day MW,Norma Delgado,Aff
American Heritage Broward SL,Westwood AT,Garrett Bishop,Neg
ModernBrain GH,Able2Shine ZZ,Tania Vasquez,Aff
Cary Acad TB,Golden State JZ,Gopal kumar,Aff
Troy Independent JK,Interlake JP,Judah Jones,Neg
Albuquerque VM,Loyola LA,David Guidry,Neg
Marlborough GC,Montgomery DM,Briajia Levi,Aff
Horace Greeley AM,Phillips Exeter ES,Gallo Patel,Aff
Harrison SE,Brearley IL,Jordan Brown,Neg
Wayzata AR,Syosset AP,Amit Fulay,Neg
Cary Acad LM,Lake Washington KK,Conal Thomas-McGinnis,Aff
Horace Greeley CC,Brophy KL,Jonathan Meza,Aff
Veritas Independent TI,Golden State JM,Ethan Chen,Aff
Walt Whitman SC,Chaminade OS,Seth Hillsberry,Aff
MSTW Independent AP,Ridge SK,Grant Brown,Aff
Northwood NC,Memorial EJ,Anderson Hendrix,Neg
Ridge HK,West Des Moines Valley JC,Cody Dorumsgaard,Aff
Marvin Ridge SR,Lake Highland Prep SS,Scott Brown,Neg
Dougherty Valley AK,ModernBrain GC,Beth Williams,Neg
Able2Shine ES,Harvard-Westlake JW,David Coates,Neg
American Heritage Broward DA,Golden State CW,Aman Jha,Aff
Interlake RM,Able2Shine MS,Ivan Lin,Neg
Awty International RY,Papaya Valley SK,Saketh Kotapati,Neg
Archbishop Mitty AGo,American Heritage Broward SM,Clement Agho-Otoghile,Neg
Vista Del Lago AS,Colleyville Heritage CB,Hunniya Ahmad,Neg
Lake Highland Prep AW,Sharks Independent WL,Michael Harris,Neg
Marlborough EP,Papaya Valley AA,Gordon Krauss,Neg
Gunn EE,New York State Independent LL,Martin Saenz,Neg
Pinewood CA,Marlborough JK,Lydia Wang,Neg
Coppell KT,Hunter AC,Ishan Rereddy,Aff
BASIS Scottsdale JV,Sharks Independent KW,Nicholas Ford,Neg
