Aff,Neg,Judge,Win
Berkeley Carroll JH,Dougherty Valley NM,Anderson Hendrix,Aff
Lake Highland Prep NA,Marlborough EP,Reece Aguilar,Aff
Able2Shine MH,George Washington IF,Cyrus Jackson,Aff
Valley Christian AK,Marlborough EF,Blake Ziegler,Neg
West HS SLC LM,Horace Greeley CC,Patrick Tapia,Aff
Pinewood CA,Loyola GY,Zakai Petilon,Neg
Loyola JR,Phillips Exeter SA,Prakash Murali,Aff
ModernBrain JH,Sharks Independent KW,Jonathan Meza,Neg
Lynbrook BZ,New York State Independent LL,Joseph Barquin,Aff
Riverside Independent OT,ModernBrain AH,Zhiying Hu,Aff
BASIS Silicon Valley VP,Troy Independent JK,Patrick Fox,Aff
City Honors JB,Brearley IL,Judah Jones,Neg
Brophy AP,Dougherty Valley SL,Hunniya Ahmad,Neg
Syosset AH,Archbishop Mitty AG,Sachi Shah,Neg
Marlborough DK,ModernBrain DL,Coralynn Yang,Neg
Able2Shine ZZ,Iowa City West VD,Brie Thomas McGinnis,Neg
Brophy VW,Phillips Exeter ES,Michael Harris,Neg
Marlborough AK,Papaya Valley AA,Lydia Wang,Aff
Elkins SS,Golden State CW,Scott Brown,Aff
Sharks Independent WL,Marlborough OO,Truman Le,Aff
Hunter AC,Harvard-Westlake KM,Jacob Nails,Neg
Lake Highland Prep AW,St Thomas CO,Nicholas Ford,Neg
Loyola LA,Edgemont SS,Charlie Finnish,Aff
Phillips Exeter JM,Marlborough MF,Tania Vasquez,Aff
Golden State AB,Trinity Prep SH,Kushagra Mahajan,Aff
American Heritage Broward ES,Bellevue Youth MT,Arjun Chopra,Aff
ModernBrain JR,Westwood DV,Joseph Hong,Aff
Wayzata NS,Altamont MF,Pranjal Verma,Aff
Hill SM,Park Vista CN,Ethan Chen,Neg
American Heritage Broward KB,West Des Moines Valley JC,Lucky Chiniasye,Aff
ADL VK,Lynbrook AS,Ryan Morgan,Aff
Archbishop Mitty AM,Kent Denver CM,Joseph Flores,Neg
Loyola JP,Bellevue Youth AM,Pinkky Shah,Aff
Awty International RY,Cary Acad TB,Subrata Saharoy,Neg
Phillips Exeter HZ,Montgomery DM,Seth Hillsberry,Aff
Lake Highland Prep SS,Golden State JM,Anthony Berryhill,Aff
Marlborough SS,Chaminade OS,Adam Mimou,Aff
Valley Christian VX,Marlborough SW,Wyllene Turner,Aff
Loyola MT,Clear Lake CW,Brianna Aaron,Aff
MSTW Independent AP,Universe 7 TD,David McGinnis,Aff
Lynbrook ST,Cabot KB,Lydia Aklilu,Aff
Walt Whitman SC,Edgemont VS,Harish Gaggar,Aff
Altamont MC,Ridge AB,Emilio Garza,Neg
Brophy KL,Dougherty Valley SV,Lesly De Anda,Neg
Loyola EM,Able2Shine MS,Gordon Krauss,Neg
Littleton MK,Brophy AS,Aman Jha,Aff
Archbishop Mitty AGo,Loyola AK,Isaiah Salgado,Neg
Hunter GK,Dougherty Valley HS,Brendan Finnegan,Aff
Interlake RM,Lynbrook VK,Anish Mehta,Aff
Ridge SK,Phillips Exeter KG,Jordan Brown,Aff
Golden State KB,Wayzata AR,Ross Johnson,Aff
Dublin SG,American Heritage Broward DA,Dilbagh Chahal,Aff
Princeton Day MW,Marlborough CS,Sonali Nicola,Neg
Phillips Exeter AD,Dougherty Valley PN,Amadea Datel,Neg
Altamont JG,Bellevue Youth IH,Michael Pulver,Aff
ModernBrain SP,Phillips Exeter TH,Chansey Agler,Neg
West HS SLC KS,Altamont SB,Drew Benthein,Neg
Northern Valley AC,Mission San Jose MW,Saied Beckford,Aff
BASIS Peoria Independent SC,Bellevue Youth NW,Rich Simon,Neg
Peninsula JE,Harvard-Westlake AS,Nethmin Liyanage,Neg
Marquette GY,Velásquez RK,Platon Kryukov,Aff
Brophy NR,American Heritage Broward SM,Denitsa Zvetkova,Aff
Harvard-Westlake OF,Holy Trinity Episcopal CH,David Coates,Neg
St Luke's SM,ModernBrain TK,Sally Rawlinson,Aff
Woodlands Independent ML,Colleyville Heritage CB,Ishan Rereddy,Neg
Dougherty Valley TT,Gunn IT,Kumari Shipra,Neg
Interlake MZ,Bellevue Youth AR,Cody Dorumsgaard,Neg
Northwood JS,Golden State KS,Jade Wu,Aff
ModernBrain MG,American Heritage Broward SL,Yanhua Wang,Neg
ModernBrain ID,Marlborough JW,Carlye Sanchez,Neg
Albuquerque VM,Dougherty Valley MJ,Kelly Brace,Neg
Archbishop Mitty NM,Stanford OHS ES,Gopal kumar,Neg
Syosset AP,BASIS Silicon Valley YS,Norma Delgado,Aff
Horace Greeley AM,Harvard-Westlake JW,Briajia Levi,Neg
Golden State PP,Gunn EE,Devin Jiang,Aff
Veritas Independent TI,Gabrielino OL,Daniel Medina,Aff
American RA,Altamont WM,Martin Saenz,Neg
Vista Del Lago AS,Ridge AM,Rowan MacLean,Neg
Lincoln Northwest AR,Marlborough CSa,Elina Lee,Neg
Trinity Prep GP,Westwood AT,Eva Lamberson,Aff
Cary Acad LM,Loyola TH,Hunter Harwood,Neg
Awty International DR,Coppell KT,Li Ding,Neg
Papaya Valley SK,BASIS Scottsdale AK,Andrew Park,Aff
West Des Moines Valley AR,Harrison SE,Miao Zhang,Neg
American Heritage Broward NS,Marlborough JK,Jules Yang,Neg
Brearley IM,Holy Trinity Episcopal AR,Cindy Chanay,Neg
Phillips Exeter JMa,Peninsula AK,Abhi Elisetty,Neg
Bellevue Youth MY,Lake Washington KK,Vasu Salver,Neg
West Des Moines Valley DN,Marlborough GC,Michael Brand,Neg
Awty International AZ,Laurel CW,Haiet Ashar,Neg
Dougherty Valley AK,Brophy CC,Aravind Kandala,Aff
Edgemont AG,Memorial EJ,Joel Henson,Neg
West Des Moines Valley SS,Riverside Independent PK,Fiona Hu,Neg
Riverside Independent SH,Clear Lake RZ,Asher Meron,Aff
Stanford OHS YZ,Lynbrook NM,Misty Wang,Neg
Bellevue Youth ZF,Sehome Independent RS,David Jia,Neg
Cherry Hill HS East CR,West Des Moines Valley ER,David Guidry,Aff
Marvin Ridge SR,ModernBrain GC,Srivani Uppalapati,Aff
Golden State JZ,ModernBrain GH,Ruchita Tayal,Neg
Lynbrook RS,Maccabees RS,Vontrez White,Neg
Ridge HK,Gunn SP,Gerard Grigsby,Aff
Sharks Independent JZ,New York State Independent AS,Riya Shenvi,Neg
Marlborough AL,Northland Christian LM,Elizabeth Elliott,Neg
Interlake JP,Westwood SM,Nelson Okunlola,Aff
Montgomery BG,Golden State IT,Anju Gupta,Aff
Bellevue Youth KZ,Able2Shine ES,Gary Boeger,Neg
